figure_id,figure_stem,data_file,figure_role,analysis_scope,analytical_window,notes
01,figure_01_national_beneficiaries_rate_2020_2025,output/tables/figure_data/figure_01a_national_levels_2020_2025.csv,primary,national_beneficiary,2020-2025,Same plotted data as figure 01a.
01a,figure_01a_national_levels_2020_2025,output/tables/figure_data/figure_01a_national_levels_2020_2025.csv,candidate_primary_duplicate,national_beneficiary,2020-2025,Panels use independent vertical scales.
01b,figure_01b_national_indexed_2020_2025,output/tables/figure_data/figure_01b_national_indexed_2020_2025.csv,alternative,national_beneficiary,2020-2025,Values indexed to 2020 within measure.
01c,figure_01c_national_annual_change_2021_2025,output/tables/figure_data/figure_01c_national_annual_change_2021_2025.csv,alternative,national_beneficiary,2021-2025,Percentage change from previous calendar year.
02,figure_02_active_substance_boxes_2019_2025,output/tables/figure_data/figure_02a_active_substance_boxes_2019_2025.csv,primary,national_active_substance,2019-2025,Same plotted data as figure 02a.
02a,figure_02a_active_substance_boxes_2019_2025,output/tables/figure_data/figure_02a_active_substance_boxes_2019_2025.csv,candidate_primary_duplicate,national_active_substance,2019-2025,Annual reimbursed boxes by active substance.
02b,figure_02b_active_substance_box_composition_2019_2025,output/tables/figure_data/figure_02b_active_substance_box_composition_2019_2025.csv,alternative,national_active_substance,2019-2025,Annual shares calculated from reimbursed boxes.
02c,figure_02c_active_substance_box_change_contributions_2023_2025,output/tables/figure_data/figure_02c_active_substance_box_change_contributions_2023_2025.csv,alternative,national_active_substance,2023-2025,Substance changes sum to the displayed national net change.
03,figure_03_age_sex_rates_2020_2025,output/tables/figure_data/figure_03a_age_sex_rates_2020_2025.csv,primary,national_age_sex,2020-2025,Same plotted data as figure 03a.
03a,figure_03a_age_sex_rates_2020_2025,output/tables/figure_data/figure_03a_age_sex_rates_2020_2025.csv,candidate_primary_duplicate,national_age_sex,2020-2025,Age-group panels use independent vertical scales.
03b,figure_03b_age_sex_indexed_2020_2025,output/tables/figure_data/figure_03b_age_sex_indexed_2020_2025.csv,alternative,national_age_sex,2020-2025,Values indexed to 2020 within age-sex stratum.
03c,figure_03c_age_sex_change_2020_2025,output/tables/figure_data/figure_03c_age_sex_change_2020_2025.csv,alternative,national_age_sex,2020-2025,Endpoint relative change; low 0-19 baseline rates require caution.
04,figure_04_regional_standardised_rates_2025,output/tables/figure_data/figure_04a_regional_standardised_rates_2025.csv,primary,regional,2025,Same plotted data as figure 04a.
04a,figure_04a_regional_standardised_rates_2025,output/tables/figure_data/figure_04a_regional_standardised_rates_2025.csv,candidate_primary_duplicate,regional,2025,2025 standardised ranking; overseas aggregate highlighted.
04b,figure_04b_regional_crude_standardised_2025,output/tables/figure_data/figure_04b_regional_crude_standardised_2025.csv,alternative,regional,2025,Crude and age-sex-standardised rates compared directly.
04c,figure_04c_regional_annual_change_2023_2025,output/tables/figure_data/figure_04c_regional_annual_change_2023_2025.csv,alternative,regional,2023-2025,Annual change in standardised rates; all cells are point estimates.
